Case Studies & Campaigns,,,,,,,,,,
The most persuasive content you can give me. Even rough numbers ('sales up ~20%') help. One row per campaign.,,,,,,,,,,
,,,,,,,,,,
Client / brand,URL,Industry,Campaign goal,"What ran (format, market, dates)",Results / metrics,Quote from client (if any),OK to name client publicly?,logo filename,Image filename,Status
AAA,aaa.com,Auto Club / Insurance & Travel,Boost membership awareness and roadside-assistance sign-ups,Proposed — mobile billboards along commuter routes and travel hubs,,,Yes (with logo),https://drive.google.com/file/d/1Bc6V_YDwLAQb_AMGc8JXKR7C5wiZxQwo/view?usp=drive_link,,
AB InBev,ab-inbev.com,Beverages / Brewing,"Boost beer-brand visibility around stadiums, festivals, and nightlife","Proposed — mobile billboards around stadiums, festivals & nightlife districts",,,Yes (with logo),https://drive.google.com/file/d/1NoUkSUTAhnmwTA1wAJ5k-ylg15zIEb-v/view?usp=drive_link,,
Beringer,beringer.com,Wine / Beverages,Raise winery visibility; drive tasting-room visits and retail purchase,Proposed — mobile billboards along tourism routes and near retail/grocery,,,Yes (with logo),https://drive.google.com/file/d/1Fv2CQN11wIlztVLzMyT4qqRGIzmvX9i2/view?usp=drive_link,,
Burger King,bk.com,Quick-Service Restaurant,Drive foot traffic and promote limited-time offers near locations,Proposed — mobile billboards near restaurant clusters at peak meal times,,,Yes (with logo),https://drive.google.com/file/d/1nz3waffLxGiXHGGqd8vlBwQQDUR4BDP4/view?usp=drive_link,,
Charles Penzone,penzonesalons.com,Beauty / Salon & Spa,Build local awareness and drive salon/spa bookings,Proposed — neighborhood mobile billboards across the Columbus market,,,Yes (with logo),https://drive.google.com/file/d/1kqa8A3l8HEsGL9nIijRQU7njBglO72N2/view?usp=drive_link,,
Charley,us.charly.com,Sportswear / Athletic Apparel & Footwear,Build brand awareness and demand among soccer fans,Proposed — mobile billboards around soccer matches and retail districts,,,Yes (with logo),https://drive.google.com/file/d/14BECGhozw3y1ZqQosp1xxzz9k7ZowdAG/view?usp=drive_link,,
Cuyahoga Comm College,tri-c.edu,Higher Education,Drive enrollment and program awareness,,,"We have won the REGIONAL gold medal for outdoor advertising from the National Council for Marketing and Public Relations... as winner of the regional award, we have been submitted for consideration for the national award from NCMPR. Thank you for helping raise the bar on our marketing! — Greg Krizman, Executive Director of Public Relations, Cuyahoga Community College",Yes (with logo),https://drive.google.com/file/d/1hfifeGK_8hOACld5mkBw-Obi91D4r0P2/view?usp=drive_link,,
Dell,dell.com,Technology / Computer Hardware,Reinforce product launches; reach business decision-makers,Proposed — mobile billboards in business districts and near convention venues,,,Yes (with logo),https://drive.google.com/file/d/12WFNHITjv0Smuc33CZdSpn1F8y80SV92/view?usp=drive_link,,
;,dollar.com,Car Rental,"Increase Dollar.com website visits and bookings in target markets using OOH, measured against matched control markets","OOH campaign across target booking-location markets vs non-OOH control markets (2018); year-over-year Dollar.com website traffic measured, target vs control.","OOH target markets +32% YoY Dollar.com visits in the peak week vs +25% for control; target markets consistently outperformed non-OOH control markets, with traffic lifts tracking OOH flight dates.",,Yes (with logo),https://drive.google.com/file/d/1aSb16f8ELyrojpea7dbxHwLiyIfTitqN/view?usp=drive_link,https://drive.google.com/drive/folders/1krDMwVHfBL2ZoRxAwSoCMrIBkabTJxy6?usp=drive_link,
Echo,echo-usa.com,Outdoor Power Equipment / Manufacturing,Drive dealer foot traffic and seasonal equipment sales,Proposed — mobile billboards near retailers and home shows,,,Yes (with logo),https://drive.google.com/file/d/1LjMlIRDm-W1iT1_-AKwinVpc_Gu-OcjL/view?usp=drive_link,,
